iter	MAE
0	1.040764627
1	1.02575818
2	1.014292451
3	1.002566025
4	0.989613989
5	0.9800179266
6	0.9684999361
7	0.960940128
8	0.9518494016
9	0.9451459794
10	0.9361256393
11	0.9310692134
12	0.9230793168
13	0.9152654763
14	0.9085001189
15	0.9052118172
16	0.9007987925
17	0.8979657289
18	0.893995918
19	0.8891553805
20	0.8874431904
21	0.8854800389
22	0.8813260183
23	0.8797545283
24	0.8765959327
25	0.8726764686
26	0.8708772461
27	0.8670856395
28	0.8656826977
29	0.8649130052
30	0.8630033064
31	0.8606823826
32	0.8577965731
33	0.857262594
34	0.8563244466
35	0.8538630542
36	0.8525119876
37	0.8499235388
38	0.8485612948
39	0.8478342947
40	0.8471718375
41	0.8460240232
42	0.8450364009
43	0.8432395518
44	0.8412141667
45	0.840847449
46	0.8393482282
47	0.8386588337
48	0.8383408958
49	0.8378108121
50	0.8369638675
51	0.8362923999
52	0.8357582824
53	0.8343449195
54	0.8335232115
55	0.8327092826
56	0.8321243228
57	0.8307072795
58	0.8301793903
59	0.8298820556
60	0.8281421284
61	0.8279515422
62	0.8277324965
63	0.8268565886
64	0.8267069442
65	0.8264858215
66	0.8264021207
67	0.8258682929
68	0.825606159
69	0.8251131437
70	0.8248580613
71	0.8244720456
