iter	Passed	Remaining
0	727	1454847
1	1446	1444906
2	2139	1424152
3	2870	1432495
4	3560	1420737
5	4259	1415708
6	4954	1410676
7	5678	1413995
8	6358	1406532
9	7089	1410821
10	7763	1403702
11	8483	1405488
12	9129	1395447
13	9803	1390677
14	10469	1385472
15	11132	1380458
16	11832	1380209
17	12533	1380128
18	13205	1376869
19	13900	1376121
20	14615	1377335
21	15284	1374220
22	15968	1372621
23	16632	1369374
24	17303	1366953
25	17962	1363769
26	18595	1358865
27	19236	1354774
28	19893	1352071
29	20624	1354334
30	21269	1350930
31	21952	1350079
32	22648	1350014
33	23361	1350873
34	24041	1349763
35	24693	1347194
36	25363	1345659
37	25986	1341712
38	26677	1341386
39	27344	1339880
40	28055	1340503
41	28749	1340253
42	29456	1340631
43	30119	1338967
44	30782	1337335
45	31469	1336754
46	32157	1336235
47	32814	1334475
48	33463	1332413
49	34117	1330574
50	34772	1328870
51	35421	1326944
52	36100	1326164
53	36771	1325132
54	37407	1322866
55	38085	1322105
56	38762	1321341
57	39425	1320059
58	40104	1319358
59	40818	1319796
60	41534	1320249
61	42179	1318435
62	42873	1318196
63	43534	1316904
64	44217	1316321
65	44886	1315318
66	45562	1314520
67	46239	1313736
68	46902	1312588
69	47654	1313902
70	48370	1314185
71	49048	1313401
